,Player,Team,Goals,Assist,Shot accuracy
0,Erling Haaland,Manchester City,27,5,60%
1,Cole Palmer,"Chelsea, Manchester City",22,11,61%
2,Alexander Isak,Newcastle United,21,2,67%
3,Ollie Watkins,Aston Villa,19,13,55%
4,Phil Foden,Manchester City,19,8,75%
5,Dominic Solanke,AFC Bournemouth,19,3,49%
6,Mohamed Salah,Liverpool,18,10,62%
7,Son Heung-min,Tottenham Hotspur,17,10,63%
8,Bukayo Saka,Arsenal,16,9,58%
9,Jarrod Bowen,West Ham United,16,6,58%
10,Jean-Philippe Mateta,Crystal Palace,16,5,74%
11,Nicolas Jackson,Chelsea,14,5,65%
12,Chris Wood,Nottingham Forest,14,1,63%
13,Kai Havertz,Arsenal,13,7,55%
14,Matheus Cunha,Wolverhampton Wanderers,12,7,66%
15,Hwang Hee-chan,Wolverhampton Wanderers,12,3,51%
16,Yoane Wissa,Brentford,12,3,50%
17,Leandro Trossard,Arsenal,12,1,54%
18,Anthony Gordon,Newcastle United,11,10,56%
19,Julián Álvarez,Manchester City,11,9,53%
20,Darwin Núñez,Liverpool,11,8,53%
21,Richarlison,Tottenham Hotspur,11,4,53%
22,Eberechi Eze,Crystal Palace,11,4,62%
23,Carlton Morris,Luton Town,11,4,53%
